neighbourhood_group,neighbourhood,sentiment_analysis,percent_positive_reviews
,Bayview,0.766593644171778,0.915828220858896
,Bernal Heights,0.84165277755639,0.934326930740416
,Castro/Upper Market,0.872274403198856,0.960372403915016
,Chinatown,0.779359397163122,0.939716312056738
,Crocker Amazon,0.763816575591985,0.903460837887067
,Diamond Heights,0.845485714285715,0.945578231292517
,Downtown/Civic Center,0.743437190572071,0.909273954755419
,Excelsior,0.791103527023598,0.917787363613296
,Financial District,0.741235805292386,0.87422410976805
,Glen Park,0.850920050547597,0.94776748104465
,Golden Gate Park,0.859950865051902,0.955017301038062
,Haight Ashbury,0.842038329836341,0.946286193873269
,Inner Richmond,0.832518198374896,0.942140655645839
,Inner Sunset,0.828854508838662,0.936674871335869
,Lakeshore,0.561318392204629,0.656516443361754
,Marina,0.815202098902846,0.921609158848784
,Mission,0.860593507454799,0.956610623524021
,Nob Hill,0.819076705926338,0.932510749672836
,Noe Valley,0.848324708892026,0.942395906845448
,North Beach,0.795219509827709,0.925988837660762
,Ocean View,0.761146224859874,0.905703923508078
,Outer Mission,0.807594972505891,0.912804399057345
,Outer Richmond,0.814655124825553,0.93502868661808
,Outer Sunset,0.798819135364987,0.916017009213324
,Pacific Heights,0.863473988681618,0.959128065395095
,Parkside,0.807210467778867,0.923127248936866
,Potrero Hill,0.873130790657809,0.9677523034069
,Presidio,0.854771710526316,0.947368421052632
,Presidio Heights,0.842201553254438,0.931213017751479
,Russian Hill,0.784516576753312,0.886709171162334
,Seacliff,0.852061016949152,0.942372881355932
,South of Market,0.811694345452676,0.944072510042229
,Treasure Island/YBI,0.637659067357513,0.715025906735751
,Twin Peaks,0.858241011705683,0.94690635451505
,Visitacion Valley,0.828814835549334,0.939818054583625
,West of Twin Peaks,0.835587642956764,0.937517433751743
,Western Addition,0.845157987517797,0.942680389795248
